date,page_template,device,sessions,conversions,lcp,cls,inp,time_to_task_sec,errors,consent_state
2025-08-14,home,mobile,1374,6,2.484,0.105,238,52.1,13,granted
2025-08-14,home,desktop,1023,15,2.393,0.053,196,76.0,18,granted
2025-08-14,pdp,mobile,1053,22,2.856,0.127,201,84.2,25,granted
2025-08-14,pdp,desktop,718,18,3.189,0.097,177,75.7,19,granted
2025-08-14,cart,mobile,464,15,3.072,0.133,197,73.3,7,granted
2025-08-14,cart,desktop,427,20,2.354,0.053,145,71.6,10,granted
2025-08-14,checkout,mobile,231,8,3.417,0.107,236,86.7,5,granted
2025-08-14,checkout,desktop,233,17,2.972,0.101,198,83.3,1,granted
2025-08-15,home,mobile,1235,6,2.644,0.084,254,66.2,37,granted
2025-08-15,home,desktop,1019,16,2.465,0.082,191,77.0,17,granted
2025-08-15,pdp,mobile,1105,23,3.123,0.094,196,70.0,29,granted
2025-08-15,pdp,desktop,903,14,2.529,0.103,208,67.7,24,granted
2025-08-15,cart,mobile,418,10,2.747,0.066,224,70.2,7,granted
2025-08-15,cart,desktop,386,19,2.666,0.068,157,69.5,0,granted
2025-08-15,checkout,mobile,225,29,2.801,0.128,202,70.8,8,granted
2025-08-15,checkout,desktop,252,22,2.327,0.096,161,62.1,7,granted
2025-08-16,home,mobile,1398,19,2.995,0.078,166,76.4,20,granted
2025-08-16,home,desktop,1083,12,3.041,0.065,139,76.9,22,granted
2025-08-16,pdp,mobile,1102,21,3.343,0.149,194,75.9,19,granted
2025-08-16,pdp,desktop,624,14,2.954,0.096,145,63.9,15,granted
2025-08-16,cart,mobile,559,19,4.066,0.098,180,71.2,13,granted
2025-08-16,cart,desktop,335,17,2.155,0.067,201,66.4,5,granted
2025-08-16,checkout,mobile,212,2,3.005,0.119,283,83.0,7,denied
2025-08-16,checkout,desktop,180,5,2.314,0.085,253,61.6,5,granted
2025-08-17,home,mobile,1487,15,3.054,0.087,208,72.2,37,granted
2025-08-17,home,desktop,859,1,1.889,0.073,217,63.3,15,granted
2025-08-17,pdp,mobile,1166,2,3.288,0.112,263,89.3,44,granted
2025-08-17,pdp,desktop,644,3,2.153,0.133,241,65.0,13,granted
2025-08-17,cart,mobile,373,13,2.542,0.103,198,70.5,7,granted
2025-08-17,cart,desktop,444,16,2.436,0.083,108,64.0,5,granted
2025-08-17,checkout,mobile,242,15,3.066,0.138,190,78.3,5,granted
2025-08-17,checkout,desktop,262,21,2.915,0.127,185,68.5,5,granted
2025-08-18,home,mobile,1351,5,2.466,0.092,216,95.5,53,denied
2025-08-18,home,desktop,1028,9,1.815,0.058,179,70.7,10,granted
2025-08-18,pdp,mobile,700,8,3.135,0.099,214,71.5,14,denied
2025-08-18,pdp,desktop,611,11,3.552,0.074,157,102.0,29,granted
2025-08-18,cart,mobile,417,15,3.037,0.125,180,74.6,13,granted
2025-08-18,cart,desktop,337,10,2.346,0.043,162,63.1,6,granted
2025-08-18,checkout,mobile,292,18,3.605,0.123,240,89.1,7,denied
2025-08-18,checkout,desktop,236,7,2.661,0.142,237,78.1,4,granted
2025-08-19,home,mobile,1367,2,2.455,0.114,217,75.0,8,denied
2025-08-19,home,desktop,1161,15,1.956,0.061,177,61.2,17,granted
2025-08-19,pdp,mobile,955,18,3.261,0.149,153,76.7,27,granted
2025-08-19,pdp,desktop,759,2,1.997,0.107,241,49.2,23,granted
2025-08-19,cart,mobile,436,2,2.479,0.083,249,78.0,16,granted
2025-08-19,cart,desktop,386,21,3.098,0.079,194,75.7,7,granted
2025-08-19,checkout,mobile,312,14,2.729,0.136,224,86.3,10,granted
2025-08-19,checkout,desktop,252,19,2.071,0.099,154,56.1,9,granted
2025-08-20,home,mobile,1194,21,2.495,0.091,173,61.9,28,granted
2025-08-20,home,desktop,1189,14,1.483,0.076,172,57.5,42,granted
2025-08-20,pdp,mobile,910,0,3.436,0.088,274,91.4,26,granted
2025-08-20,pdp,desktop,919,18,3.127,0.105,197,82.0,12,granted
2025-08-20,cart,mobile,430,15,3.053,0.11,178,76.0,16,granted
2025-08-20,cart,desktop,310,10,2.481,0.087,170,81.5,9,denied
2025-08-20,checkout,mobile,295,20,4.131,0.116,169,109.0,5,granted
2025-08-20,checkout,desktop,274,20,2.059,0.075,141,52.5,6,denied
2025-08-21,home,mobile,1369,8,2.335,0.044,211,63.4,28,granted
2025-08-21,home,desktop,1104,19,2.704,0.075,185,65.3,19,granted
2025-08-21,pdp,mobile,1100,9,3.043,0.13,222,78.1,36,granted
2025-08-21,pdp,desktop,634,15,2.107,0.053,169,70.1,9,granted
2025-08-21,cart,mobile,505,1,3.431,0.089,250,87.4,6,granted
2025-08-21,cart,desktop,271,5,2.045,0.063,194,80.1,1,granted
2025-08-21,checkout,mobile,235,18,3.39,0.117,175,91.4,4,granted
2025-08-21,checkout,desktop,184,15,2.438,0.109,184,71.6,4,denied
2025-08-22,home,mobile,1258,19,2.309,0.111,200,78.3,33,granted
2025-08-22,home,desktop,1142,19,3.18,0.112,172,80.4,38,granted
2025-08-22,pdp,mobile,1034,21,3.19,0.126,204,64.6,4,granted
2025-08-22,pdp,desktop,748,3,2.583,0.139,223,62.8,21,granted
2025-08-22,cart,mobile,422,18,2.974,0.102,199,87.7,4,granted
2025-08-22,cart,desktop,515,18,2.489,0.099,172,74.2,10,granted
2025-08-22,checkout,mobile,245,10,3.372,0.103,249,96.4,6,granted
2025-08-22,checkout,desktop,242,11,2.577,0.119,135,64.5,0,denied
2025-08-23,home,mobile,1565,20,3.258,0.076,164,49.9,22,denied
2025-08-23,home,desktop,1158,20,2.176,0.079,123,58.3,24,granted
2025-08-23,pdp,mobile,1096,14,3.338,0.133,209,92.0,45,granted
2025-08-23,pdp,desktop,690,3,3.234,0.096,232,78.2,24,granted
2025-08-23,cart,mobile,455,16,3.526,0.083,181,80.0,11,granted
2025-08-23,cart,desktop,398,10,2.184,0.093,98,52.3,1,granted
2025-08-23,checkout,mobile,284,21,3.128,0.115,225,82.7,3,granted
2025-08-23,checkout,desktop,249,10,2.854,0.111,198,95.6,5,denied
2025-08-24,home,mobile,1184,17,2.487,0.065,183,68.2,25,granted
2025-08-24,home,desktop,942,14,2.76,0.085,165,65.6,24,granted
2025-08-24,pdp,mobile,794,15,3.173,0.125,203,82.1,7,granted
2025-08-24,pdp,desktop,978,27,2.599,0.107,117,55.8,19,denied
2025-08-24,cart,mobile,482,19,3.699,0.066,184,89.5,16,denied
2025-08-24,cart,desktop,374,27,3.129,0.037,131,71.7,3,denied
2025-08-24,checkout,mobile,284,15,2.49,0.13,212,83.2,5,denied
2025-08-24,checkout,desktop,245,19,3.005,0.109,139,79.9,3,granted
2025-08-25,home,mobile,1063,17,3.079,0.074,171,84.4,23,granted
2025-08-25,home,desktop,1341,23,2.224,0.071,178,58.6,31,granted
2025-08-25,pdp,mobile,934,16,3.745,0.099,157,102.6,44,granted
2025-08-25,pdp,desktop,548,16,2.576,0.094,184,59.2,14,granted
2025-08-25,cart,mobile,350,5,3.18,0.131,215,77.6,8,granted
2025-08-25,cart,desktop,256,6,2.466,0.062,225,69.0,8,granted
2025-08-25,checkout,mobile,297,11,3.328,0.103,235,96.3,5,denied
2025-08-25,checkout,desktop,224,15,2.339,0.093,187,49.9,1,denied
2025-08-26,home,mobile,1225,1,1.874,0.106,218,54.4,11,granted
2025-08-26,home,desktop,1142,5,3.353,0.078,181,80.2,31,granted
2025-08-26,pdp,mobile,1158,6,2.991,0.111,215,86.0,44,granted
2025-08-26,pdp,desktop,752,3,2.826,0.095,218,53.3,9,granted
2025-08-26,cart,mobile,300,10,2.515,0.072,203,81.5,5,granted
2025-08-26,cart,desktop,356,12,2.82,0.05,142,77.5,5,granted
2025-08-26,checkout,mobile,274,17,3.481,0.099,229,84.1,2,granted
2025-08-26,checkout,desktop,250,22,2.56,0.08,187,81.5,0,granted
2025-08-27,home,mobile,1153,5,3.484,0.096,233,75.0,11,granted
2025-08-27,home,desktop,1090,13,2.619,0.066,178,72.3,28,granted
2025-08-27,pdp,mobile,771,3,2.301,0.14,265,60.1,5,granted
2025-08-27,pdp,desktop,935,20,3.419,0.11,178,73.8,21,denied
2025-08-27,cart,mobile,379,5,3.72,0.126,244,81.3,12,denied
2025-08-27,cart,desktop,386,18,2.9,0.083,192,82.0,9,granted
2025-08-27,checkout,mobile,278,3,2.978,0.094,280,98.5,9,denied
2025-08-27,checkout,desktop,275,21,2.705,0.104,157,74.9,6,denied
